,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
469,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200.wcnf,207133302,6.85,79732554,250.09,90720420,132.8,90496530,198.25,101369717,42.31,91920322,144.49,140789623.0,28.17,95373606,196.0,86276967,19.1,86474710,249.98
470,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,16.0,247.92,26,102.0,None,300,None,300
471,w_2023_railway-transport_wt-wg2.wcnf,205,46.36,151,284.02,144,36.58,136,96.59,187,251.82,153,257.69,94.0,91.38,81,297.0,165,116.62,160,78.13
472,w_2023_shiftdesign_wt-limits-10-10_data-2_inst-030_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,572064724.0,298.07,33199199,298.0,None,300,None,300
473,w_2023_decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,72,21.12,72,15.57,72,53.45,72,17.38,70,225.32,70,151.27,40.0,252.14,34,285.0,72,17.29,72,17.24
474,w_2023_generalized-ising_wt-IS11_5.0.5.0.0.5_softer_periodic.wcnf,111911777649462,0.09,112510989539677,166.62,112081294052242,0.08,111911777649462,0.08,112403332982361,221.2,112563269656267,172.72,114010256986464.0,27.02,113373852084014,12.0,112072158920140,0.07,111911777649462,0.11
475,w_2023_hs-timetabling_wt-FinlandSecondarySchool.xml.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,269.0,39.19,124,103.0,None,300,None,300
476,w_2023_mpe_wt-random-net-50-5_network-8.net.wcnf,47035,41.96,47060,148.15,46535,1.96,46535,1.32,47429,223.23,46535,163.26,48658.0,171.24,48944,12.0,46535,1.71,46535,1.28
477,w_2023_MaxSATQueriesinInterpretableClassifiers_wt-toms_test_2_CNF_3_20.wcnf,261,8.21,206,273.03,173,119.31,164,44.69,341,240.98,193,280.13,144.0,229.75,133,50.0,174,154.82,164,62.97
478,w_2023_judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf,796,53.11,821,289.01,777,53.51,776,129.61,816,113.65,814,127.09,799.0,16.89,863,38.0,776,46.91,776,138.42
479,w_2023_decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3.wcnf,355,5.23,355,51.1,355,13.16,355,7.9,348,215.89,336,135.26,284.0,50.51,377,36.0,355,6.78,355,8.01
